open,close,dir,entry,sl,tp,exit,r,why,hold_h
2016-12-19 16:45,2016-12-19 18:15,sell,1137.22,1140.35,1130.95,1140.35,-1.000,sl,1.50
2016-12-20 06:45,2016-12-20 14:15,sell,1135.23,1137.71,1130.27,1130.27,2.000,tp,7.50
2016-12-20 14:15,2016-12-20 16:30,sell,1130.30,1132.35,1126.19,1126.19,2.000,tp,2.25
2016-12-21 02:15,2016-12-21 03:45,sell,1130.72,1132.46,1127.25,1132.46,-1.000,sl,1.50
2016-12-21 12:00,2016-12-21 14:00,sell,1133.83,1135.87,1129.74,1135.87,-1.000,sl,2.00
2016-12-21 21:15,2016-12-22 16:45,sell,1131.13,1133.34,1126.70,1133.34,-1.000,sl,18.50
2016-12-22 19:00,2016-12-23 08:00,sell,1128.50,1131.69,1122.12,1131.69,-1.000,sl,12.00
2016-12-23 08:45,2016-12-23 10:30,sell,1130.73,1131.86,1128.47,1131.86,-1.000,sl,1.75
2016-12-23 14:45,2016-12-23 16:30,sell,1130.51,1131.81,1127.90,1131.81,-1.000,sl,1.75
2017-01-27 01:30,2017-01-27 05:15,sell,1187.39,1189.27,1183.63,1183.63,2.000,tp,3.75
2017-01-27 10:30,2017-01-27 11:45,sell,1182.30,1184.34,1178.21,1184.34,-1.000,sl,1.25
2017-01-30 10:00,2017-01-30 12:30,sell,1189.46,1191.10,1186.17,1191.10,-1.000,sl,2.50
2017-02-03 03:15,2017-02-03 04:15,buy,1216.01,1213.45,1221.14,1213.45,-1.000,sl,1.00
2017-02-03 09:15,2017-02-03 13:45,buy,1213.85,1212.09,1217.37,1212.09,-1.000,sl,4.50
2017-02-03 16:00,2017-02-06 03:00,buy,1216.92,1213.18,1224.39,1224.39,2.000,tp,10.00
2017-02-06 03:00,2017-02-06 09:15,buy,1224.90,1222.13,1230.45,1222.13,-1.000,sl,6.25
2017-02-06 10:00,2017-02-06 10:45,buy,1224.28,1222.43,1227.99,1222.43,-1.000,sl,0.75
2017-02-06 17:30,2017-02-07 18:30,buy,1228.44,1224.79,1235.75,1234.12,1.555,time,24.00
2017-02-07 19:15,2017-02-07 22:00,buy,1235.39,1232.30,1241.58,1232.30,-1.000,sl,2.75
2017-02-08 03:15,2017-02-08 08:30,buy,1233.85,1231.76,1238.04,1231.76,-1.000,sl,5.25
2017-02-08 10:00,2017-02-08 10:45,buy,1232.92,1230.88,1236.99,1236.99,2.000,tp,0.75
2017-02-08 16:00,2017-02-08 20:30,buy,1239.59,1236.97,1244.84,1236.97,-1.000,sl,4.50
2017-02-08 22:45,2017-02-09 13:15,buy,1240.60,1238.03,1245.75,1238.03,-1.000,sl,13.50
2017-02-09 15:00,2017-02-09 16:45,buy,1240.55,1237.83,1245.98,1237.83,-1.000,sl,1.75
2017-02-15 23:30,2017-02-16 10:45,buy,1233.10,1231.22,1236.85,1236.85,2.000,tp,10.25
2017-02-16 10:45,2017-02-16 13:15,buy,1237.75,1235.07,1243.10,1235.07,-1.000,sl,2.50
2017-02-16 16:45,2017-02-17 17:45,buy,1239.98,1236.34,1247.26,1239.20,-0.214,time,24.00
2017-02-20 11:45,2017-02-21 02:15,buy,1236.84,1235.16,1240.20,1235.16,-1.000,sl,9.50
2017-02-22 10:45,2017-02-22 15:00,buy,1236.66,1234.82,1240.33,1240.33,2.000,tp,4.25
